,Rank,Name,Year of Release,IMDB Rating
222,223,A Silent Voice: The Movie,2016,8.0
223,224,Cool Hand Luke,1967,8.0
224,225,Hachi: A Dog's Tale,2009,8.0
225,226,Gangs of Wasseypur,2012,8.0
226,227,The 400 Blows,1959,8.0
227,228,Platoon,1986,8.0
228,229,Spotlight,2015,8.0
229,230,"Monsters, Inc.",2001,8.0
230,231,Rebecca,1940,8.0
231,232,Life of Brian,1979,8.0
232,233,In the Mood for Love,2000,8.0
233,234,Hotel Rwanda,2004,8.0
234,235,The Bandit,1996,8.0
235,236,Rush,2013,8.0
236,237,Rocky,1976,8.0
237,238,Amores perros,2000,8.0
238,239,Into the Wild,2007,8.0
239,240,Nausicaä of the Valley of the Wind,1984,8.0
240,241,Before Sunset,2004,8.0
241,242,It Happened One Night,1934,8.0
242,243,Fanny and Alexander,1982,8.0
243,244,Demon Slayer: Mugen Train,2020,8.0
244,245,The Battle of Algiers,1966,8.0
245,246,Nights of Cabiria,1957,8.0
246,247,Drishyam,2013,8.0
247,248,Andrei Rublev,1966,8.0
248,249,Neon Genesis Evangelion: The End of Evangelion,1997,8.0
249,250,Drishyam 2,2021,8.0
